Index,Location,Population_Density,Date,Min_Temp,Max_Temp,Lockdown,Num_Tests,Num_Cases
0,USA,94.0,1/22/2020,-4.0,6.0,0,,1
1,USA,94.0,1/23/2020,-1.0,8.0,0,,1
2,USA,94.0,1/24/2020,2.0,13.0,0,,2
3,USA,94.0,1/25/2020,4.0,11.0,0,,2
4,USA,94.0,1/26/2020,2.0,11.0,0,,5
5,USA,94.0,1/27/2020,5.0,11.0,0,,5
6,USA,94.0,1/28/2020,2.0,11.0,0,,5
7,USA,94.0,1/29/2020,2.0,10.0,0,,5
8,USA,94.0,1/30/2020,4.0,10.0,0,,5
9,USA,94.0,1/31/2020,2.0,6.0,0,,7
10,USA,94.0,2/1/2020,3.0,12.0,0,,8
11,USA,94.0,2/2/2020,3.0,14.0,0,,8
12,USA,94.0,2/3/2020,8.0,18.0,0,,11
13,USA,94.0,2/4/2020,13.0,18.0,0,,11
14,USA,94.0,2/5/2020,15.0,17.0,0,,11
15,USA,94.0,2/6/2020,15.0,19.0,0,,11
16,USA,94.0,2/7/2020,2.0,9.0,0,,11
17,USA,94.0,2/8/2020,0.0,7.0,0,,11
18,USA,94.0,2/9/2020,0.0,11.0,0,,11
19,USA,94.0,2/10/2020,3.0,14.0,0,,11
20,USA,94.0,2/11/2020,13.0,19.0,0,,12
21,USA,94.0,2/12/2020,9.0,14.0,0,,12
22,USA,94.0,2/13/2020,10.0,19.0,0,,13
23,USA,94.0,2/14/2020,3.0,10.0,0,,13
24,USA,94.0,2/15/2020,-2.0,8.0,0,,13
25,USA,94.0,2/16/2020,2.0,10.0,0,,13
26,USA,94.0,2/17/2020,4.0,14.0,0,,13
27,USA,94.0,2/18/2020,8.0,16.0,0,,13
28,USA,94.0,2/19/2020,8.0,9.0,0,,13
29,USA,94.0,2/20/2020,2.0,6.0,0,,13
30,USA,94.0,2/21/2020,-2.0,5.0,0,,15
31,USA,94.0,2/22/2020,0.0,13.0,0,,15
32,USA,94.0,2/23/2020,3.0,12.0,50,,15
33,USA,94.0,2/24/2020,6.0,9.0,50,,51
34,USA,94.0,2/25/2020,9.0,19.0,50,,51
35,USA,94.0,2/26/2020,10.0,19.0,50,,57
36,USA,94.0,2/27/2020,0.0,9.0,50,,58
37,USA,94.0,2/28/2020,1.0,10.0,50,,60
38,USA,94.0,2/29/2020,1.0,7.0,50,,68
39,USA,94.0,3/1/2020,1.0,13.0,50,,74
40,USA,94.0,3/2/2020,5.0,16.0,50,,98
41,USA,94.0,3/3/2020,6.0,15.0,50,,118
42,USA,94.0,3/4/2020,8.0,14.0,50,,149
43,USA,94.0,3/5/2020,7.0,11.0,50,,217
44,USA,94.0,3/6/2020,3.0,11.0,50,,262
45,USA,94.0,3/7/2020,1.0,11.0,50,,402
46,USA,94.0,3/8/2020,3.0,15.0,50,,518
47,USA,94.0,3/9/2020,5.0,18.0,50,,583
48,USA,94.0,3/10/2020,12.0,19.0,50,,959
49,USA,94.0,3/11/2020,11.0,22.0,50,,1281
50,USA,94.0,3/12/2020,11.0,22.0,50,,1663
51,USA,94.0,3/13/2020,17.0,22.0,50,,2179
52,USA,94.0,3/14/2020,8.0,16.0,50,,2723
53,USA,94.0,3/15/2020,9.0,15.0,50,,3490
54,USA,94.0,3/16/2020,6.0,13.0,50,,4623
55,USA,94.0,3/17/2020,9.0,16.0,50,,6411
56,USA,94.0,3/18/2020,10.0,17.0,50,,7771
57,USA,94.0,3/19/2020,16.0,26.0,50,,13657
58,USA,94.0,3/20/2020,18.0,26.0,50,,19069
59,USA,94.0,3/21/2020,15.0,23.0,50,,25450
60,USA,94.0,3/22/2020,6.0,11.0,50,,33219
61,USA,94.0,3/23/2020,7.0,12.0,50,,43469
62,USA,94.0,3/24/2020,8.0,17.0,50,,53443
63,USA,94.0,3/25/2020,13.0,20.0,50,,65652
